# Music Cards song catalog — one physical card per line.
# Format: title;artist;year;spotify-link
# Generated by ImportPlaylists (make import); edit years freely, they
# come from the ALBUM release date and compilations are marked below.
Telegram;Horkýže Slíže;2001;spotify:track:3TmVumK2QtPSExbFcmjfyk
Siluety;MANDRAGE;2013;spotify:track:5PrBUt2c9zGecwSI0QoTJc
Arabela (feat. Jana Nagyová);Darina Rolincová;1988;spotify:track:7E1XFru8hWFTmENWaaeugj
Neposlušné tenisky;Lucie Bílá;2004;spotify:track:42UISa1VPzdc48kYQ7jdF1
Když nemůžeš tak přidej;Mirai;2017;spotify:track:7DdwITgxQe8MST37qt4t2q
I přes to všechno;MIRAI;2019;spotify:track:5efRbEnxrNDKEql0u8Ligh
Dnes Je Skvely Den;Gladiator;2000;spotify:track:49roVxWT0LGppkDUiw23K1
Svařák;WALDA GANG;2012;spotify:track:2smn31c84q9bpvpJfENKye
Let Me Know;TOMÁŠ BEZDEDA;2016;spotify:track:1t7n1frjdJME6mGaet2mrW
Si pre mňa;BEÁTA DUBASOVÁ;2026;spotify:track:2J7q2NlJy7PvOWQ62YqWOI
Úsměv pana Lloyda;Kabát;2007;spotify:track:0XoVPDZQimvvDoomdEhfHw
Ruzová záhrada;Iné Kafe;2001;spotify:track:6qJgBAIY9jP1Mq5sqlavY9
Zily;No Name;2001;spotify:track:5XH6D7sBf9LIBkqtVf9wi9
V lese;Pokáč;2019;spotify:track:1HFiNfOOtHJsq3LdcVQZbI
Krčmárik maličký / Fľaša milovaná / Ešte si já pohár vínka vypijem;Profil;2007;spotify:track:0mzhuIC4INK52qwuZA8mqT
Za tebou;Peha;2005;spotify:track:0aUgPnpwRL6s7n4CIywJfC
Vlak;Horkýže Slíže;2002;spotify:track:5t9Ctpnkclg6UxBeUCjWVl
Personal Sky;LINA MAYER;2015;spotify:track:33Unwt26qeg4xgj38bVyCB
V pekle sudy válej;Kabát;2000;spotify:track:7G7oPfhVzHrq3oaq5z8643
